File,RE,Cost,REs,Time (s)
type2_exp53,not_found,22,1795342663,1.688202
type2_exp54,(0+1)(1+01*)(01?0)*1?,21,569462961,1.167522
type2_exp55,0(0+1)+(1?01)?(0+1(0?1)?1),25,1286163876,1.22715
type2_exp56,((0+1)1*(0+1)(0+10?))?,18,6551667,0.333144
type2_exp57,(0+11)*(0+1(0+1)(0+1))1?,21,149560984,0.516012
type2_exp58,(100)?(11+0(1+(01)*)(0+1)),23,2065129071,1.898265
type2_exp59,1*+(1+00)(10)*,13,339041,0.298405
type2_exp60,((0?1)?(01?0+10?1))?,20,28338875,0.365565
type2_exp61,0*1?(0+10?1)0*,17,9232439,0.325345
type2_exp62,(00)?(0+1(0*11*0*)?),20,259225268,0.739681
type2_exp63,((11)*(1+0(01*)*))?,15,1482322,0.308596
type2_exp64,11+(1+0(0+1)1?(0+1))(01*)*,24,1362660871,1.400347
type2_exp65,1*0?(1((1+1*0)0)*)?,18,16681696,0.337234
type2_exp66,((1*01*)?(0+1)1(01*)?)?,21,523891593,1.096048
type2_exp67,0(101?)?+1(0+(00+11)1)?,24,743946378,0.865429
type2_exp68,(0+0*1((1+00)10*)?)(01(0+1))?,27,4137332464,3.224546
type2_exp69,((0+1)(11)?)?(1+01*),16,2557293,0.308284
type2_exp70,(1+0*)1((1+0(1+00))(0+1))*,21,889638198,1.681053
type2_exp71,((1+(0+11?)0)0)*(0?(11)?1)?,24,780908661,0.916936
type2_exp72,((11+0?(0+(0+1)(0+11)1))(1*0)?)?,27,2242832033,1.838911
type2_exp73,not_found,22,1709400286,1.657991
type2_exp74,0+(0+1)*(0+11)(0+(0+1)0?1),23,567201874,0.771843
type2_exp75,(100*)?((1+0(11+00?))1)*,23,313981570,0.584366
type2_exp76,(01+(10*)*0)?,12,88551,0.289969
type2_exp77,not_found,21,1220117510,1.615184
type2_exp78,(0*+(1*01?0)*1)0?,18,51990599,0.488308
type2_exp79,0+((1*0)*0)?1(0+1)1*,19,167065414,0.692205
type2_exp80,0?0?(1(00)?1?0?)?,19,72336720,0.455306
type2_exp81,(0?(101+(00+1(0+1)1)(0+1))1?)?,28,2062407784,8.121797
type2_exp82,0?(0(1+00))?(0+1(0+0*1)),22,178565816,0.508383
type2_exp83,not_found,24,844720022,2.913975
type2_exp84,(0?(0+1)(0+(0+1)1))*(0+1),19,93783947,0.497637
type2_exp85,not_found,21,1118386794,1.469349
type2_exp86,not_found,23,3326142396,2.236455
type2_exp87,1+(0+1)0?(0+1)(11)?(0+1),21,429758771,0.851752
type2_exp88,(1(0+1)0)?1?(0((0+1)(1+(0+1)(0+1)))?)?,29,2172159191,18.112381
type2_exp89,1?(10(10*)*+(0+1)1(1+0(0+1))),26,2700566259,2.392974
type2_exp90,not_found,21,1657906056,2.754326
type2_exp91,1*+0*(1(0+0*10*1))*,20,209800988,0.620115
type2_exp92,10(0+1)*+(0+(0+1)1)(11+00*),25,3088875545,2.74877
type2_exp93,not_found,22,1970025436,1.70205
type2_exp94,(1+0?(0+11(0+1))0?)(01)*,22,807063652,1.345312
type2_exp95,(0*1)*0?01*,13,356934,0.297549
type2_exp96,((0+1)(0+10*1))?0(1+0*),20,140208122,0.514097
type2_exp97,(0(0+1)0?)?(1+(1?0)*(0+111)0),27,1388881110,4.534527
type2_exp98,(0+1(0?1)?)(11)?0*,17,4167177,0.336053
type2_exp99,((00?1)?(0+(0+11)*1)(00)?)?,24,1034082982,1.23026
type2_exp100,not_found,22,1886322697,1.662204
type2_exp101,not_found,20,857078131,3.272021
type2_exp102,(1*(0+111)(01*)*)?,17,14217948,0.363841
type2_exp103,(0*1?(0+(0+1)10?))?,17,6877768,0.316298
type2_exp104,(0?(0+1)0)*(1+(0+11)1?0?),23,2080058726,1.942916
type2_exp105,not_found,21,1328906258,2.275188
type2_exp106,0+(1+(00)*)((01)?10?)?,19,64534242,0.408781
type2_exp107,1?(1+0(11+0(1(0+1))?))((0+11)1)?,28,3482910197,9.609004
type2_exp108,not_found,23,2759406904,2.055851
type2_exp109,not_found,21,1541886979,2.159933
type2_exp110,111+(1+0*)01*(1+(0+1)0),23,1801639202,2.057099
type2_exp111,(((0+1)*00+(1+00?)1)(1(0+1))?)?,25,1656994675,1.6973
type2_exp112,not_found,22,1739527059,1.655235
type2_exp113,not_found,23,2580720451,1.97502
type2_exp114,not_found,22,2319303868,2.113466
type2_exp115,(1+0(1?0)*0)1*(0+1),18,20824668,0.341993
