File,RE,Cost,REs,Time (s)
type2_exp1,(0(0+1))?1(0(1+00)?)?,18,5562109,0.402015
type2_exp2,(1?0)*(1+(0+11)0),15,562291,0.312765
type2_exp3,(00?1)?(0+1)1?,14,386246,0.307887
type2_exp4,(1?(0+1)(0(1+00))?)?,16,711298,0.317222
type2_exp5,(0+1)?(00+(01+10)(0+1)),20,9928613,0.374891
type2_exp6,1((0+1)1)?+0(1?01?)?,19,12761000,0.341872
type2_exp7,((1+00)(0+1))?(0+1)0?,17,2227475,0.354688
type2_exp8,((0+0*1)(0+1))?(0+1)1?,18,13783429,0.354026
type2_exp9,(1(0*+((0+1)0)*1?))?,15,893262,0.318142
type2_exp10,01+(00+11?)(0+(0+1)1)?,21,49293959,0.406328
type2_exp11,(1+(1+0(0+1))(0+1))?,14,228309,0.320271
type2_exp12,(0+1(0?1)?)(1(0+1)0?)*,19,60492037,0.458877
type2_exp13,((0+0*1)(1+00)0*)*,16,1476835,0.30302
type2_exp14,0*+(0+11)1(1+0(0+1)),18,16719101,0.377757
type2_exp15,1+(1(0+1)1+(0+(0+1)1)0)(0+1)?,24,282296761,0.540999
type2_exp16,((01*+1(0+10?1))0?)?,19,22663813,0.363497
type2_exp17,1+(00)?1?0(0+1)?,16,2470563,0.333371
type2_exp18,(0+((0+11)1)?1)((0+(0+1)1)01*)?,26,2175028441,1.763228
type2_exp19,0+((0+10*)10?)*,14,1053428,0.291489
type2_exp20,(0+10?1)(0+1)*01*,18,37775771,0.430079
type2_exp21,1?(01+((1+00)(10)?)*),18,7253623,0.331892
type2_exp22,1?(0+1)((0+1)00)?,15,605661,0.307859
type2_exp23,(0+(1?(0+1)01?)*)01*,19,88408077,0.531395
type2_exp24,((1+1?01*)0)*1*,15,2392722,0.328163
type2_exp25,((1+0(0+1))0)*(0+11)1*,19,76104360,0.485677
type2_exp26,0?1(1+0*)(0+1*),14,714005,0.310451
type2_exp27,(10+(11+01?0)0*1?)?,21,55409120,0.440599
type2_exp28,(0(0+1))?(10*+(0+(0+11)1)01*),26,1136225403,1.074209
type2_exp29,(0+1)((0+10*)1)*0?,16,4117461,0.329218
type2_exp30,(0+(0+1)*11(0+1))(01)*,19,50998611,0.426155
type2_exp31,((0+0*10*)1)?(1+0*),17,6738181,0.317519
type2_exp32,1+(0*10*(0+1((0+1)(0+1))*))?,23,2628305999,2.220805
type2_exp33,(0+10?1)*,9,3564,0.283195
type2_exp34,(0+1*)(0+1*)10*,14,470437,0.287355
type2_exp35,((0?11)?10*)?(001?)*,21,72609460,0.455226
type2_exp36,1+0?((0+1)(0+1)1)?,15,1339931,0.312096
type2_exp37,00+(0+1(0+1))(1+(0+1)(0+11)),23,277315643,0.576607
type2_exp38,((0(0+1)(0+1))?(0+11?))?,18,7252866,0.330063
type2_exp39,((0+11)*1)?(0+101*)?,19,24534202,0.400885
type2_exp40,(0+(0+1)(11+(0+1)(0+1)(0+1)))*,22,116692664,0.473907
type2_exp41,0+1?(1+0(0+11)0*),17,6137807,0.330853
type2_exp42,(0*+1(1((0+1)0)*)*)(01)*,19,92774246,0.52158
type2_exp43,0+11+(0+(0+1)*01)10*,21,514385140,1.036656
type2_exp44,((1*01+((0+1)0)*0)(10?)*)?,22,480067384,0.937735
type2_exp45,(0*+(0?1)*)10?,13,264944,0.299132
type2_exp46,(1?0(0+1)*10)?0?1*,20,387072491,1.233038
type2_exp47,((1*0(0+1*))?(0+1)0*0)?,20,172406706,0.616921
type2_exp48,(0+1(0+1)*)(01?)*,14,762750,0.314007
type2_exp49,(01+1(1+00))(0+(0+1)1),19,26692923,0.358366
type2_exp50,(11?0+(0+(0+11)1)(1+0(0+1)))1?,27,2685759220,2.167896
type2_exp51,(01)?(((1+(0+1)0)(0+1))*0)?(0?1)?,26,1588860097,1.429773
type2_exp52,0*1((0+(10?)*)10*)?,18,49955705,0.471415
