File,RE_original,Cost_original,REs_original,Time_original,RE_new,Cost_new,REs_new,Time_new,Cost_ratio,REs_ratio
type2_exp68,(0+0*1((1+00)10*)?)(01(0+1))?,27.0,4137332464.0,3.224546,(001+10(0+1))?(0+0*1(110?)?),29.0,661556.0,0.678609,1.0740740740740742,0.0001598991634722058
type2_exp69,((0+1)(11)?)?(1+01*),16.0,2557293.0,0.308284,(0+(01)?1)((0+0?1)(11)?)?,21.0,657684.0,0.673141,1.3125,0.25717976000403553
type2_exp70,(1+0*)1((1+0(1+00))(0+1))*,21.0,889638198.0,1.681053,not_found,17.0,9610595.0,217.271016,0.8095238095238095,0.01080281289810355
type2_exp71,((1+(0+11?)0)0)*(0?(11)?1)?,24.0,780908661.0,0.916936,((1+(0+1)0)(0+11))?((10)*+(0(11)?)?1)(100)?,36.0,642854.0,0.653639,1.5,0.0008232127931284399
type2_exp72,((11+0?(0+(0+1)(0+11)1))(1*0)?)?,27.0,2242832033.0,1.838911,(0+(11(10)?)*)(0+(0+1)(01+10))?(0((00+11)1)?)?,40.0,529096.0,0.529323,1.4814814814814814,0.0002359053162319445
type2_exp73,not_found,22.0,1709400286.0,1.657991,(100)?((11110)?0)?(1(10*10)?)?(1010*1)?(1+00(111)?)?,59.0,1194266.0,3.388755,2.6818181818181817,0.0006986461917556974
type2_exp74,0+(0+1)*(0+11)(0+(0+1)0?1),23.0,567201874.0,0.771843,(0+1?(00+11))?(0+1101)(0+(0+10?)1)?,35.0,688423.0,0.79859,1.5217391304347827,0.0012137177811933676
type2_exp75,(100*)?((1+0(11+00?))1)*,23.0,313981570.0,0.584366,((01)?1(1+00?))?((1+000?)1)?,26.0,626850.0,0.674427,1.1304347826086956,0.001996454760067605
type2_exp76,(01+(10*)*0)?,12.0,88551.0,0.289969,(01+(10*)*0)?,12.0,83116.0,0.662455,1.0,0.9386229404523947
type2_exp77,not_found,21.0,1220117510.0,1.615184,not_found,17.0,9367350.0,93.62108,0.8095238095238095,0.007677416251488761
type2_exp78,(0*+(1*01?0)*1)0?,18.0,51990599.0,0.488308,not_found,17.0,9493736.0,117.529266,0.9444444444444444,0.18260485900537518
type2_exp79,0+((1*0)*0)?1(0+1)1*,19.0,167065414.0,0.692205,not_found,17.0,9418222.0,190.68157,0.8947368421052632,0.05637445701358631
type2_exp80,0?0?(1(00)?1?0?)?,19.0,72336720.0,0.455306,(1(0+1)00)?(0(0+1)1*)?(11?)?(1*0+1(001)?)?(010010)?(001000)?(10100)?,78.0,1374390.0,7.710936,4.105263157894737,0.01899989382985571
type2_exp81,(0?(101+(00+1(0+1)1)(0+1))1?)?,28.0,2062407784.0,8.121797,(0101)?(1010)?((00+11)1(0+1))?(000+101)?,45.0,724883.0,0.808412,1.6071428571428572,0.0003514741389280947
type2_exp82,0?(0(1+00))?(0+1(0+0*1)),22.0,178565816.0,0.508383,(0((1+0(0+1))1?)?)?(0+1(0+0*1)),25.0,700280.0,0.78227,1.1363636363636365,0.003921691260324989
type2_exp83,not_found,24.0,844720022.0,2.913975,(11+(01)?(00)?)(0+10?110?)((01+10)0)?((01+1(0+1))1)?,51.0,978059.0,2.206969,2.125,0.0011578499082859433
type2_exp84,(0?(0+1)(0+(0+1)1))*(0+1),19.0,93783947.0,0.497637,(0111)?(1(10+00*1)0)?(111)?(11+(1+1?00)0)?((1+00)0001)?(0+10*111)(001)?(0(000+111))?(00(01+10?0))?(0?11+(0+1)00)?(110000)?(01000)?(00010)?(1(01+10))?,175.0,7714013.0,116.652145,9.210526315789474,0.08225302140461203
type2_exp85,not_found,21.0,1118386794.0,1.469349,(100+1?011)?(0(00)?+10*1)(10((1+00)(0+1))?)?((11)?0(0+1)1)?(0000)?(01011)?(010+101)?(1000(01)?)?(1110)?(001)?(101111)?,135.0,5469703.0,76.758499,6.428571428571429,0.004890707784949042
type2_exp86,not_found,23.0,3326142396.0,2.236455,(10(0+1(0+1))0)?(0+(0+1)?011)?(0010?00)?(0+1(1+1?01?))?(0(10+001))?,70.0,1138867.0,3.103642,3.0434782608695654,0.0003423987503871136
type2_exp87,1+(0+1)0?(0+1)(11)?(0+1),21.0,429758771.0,0.851752,(0(00+111))?(1?(00+(0+1)1))?(1+00(0+1)0*)(11)?(10)?,49.0,1039560.0,2.372219,2.3333333333333335,0.0024189384141737507
type2_exp88,(1(0+1)0)?1?(0((0+1)(1+(0+1)(0+1)))?)?,29.0,2172159191.0,18.112381,(10(0+1)(0+1))?(1+0(0+1)0(0+1))?(1?(0+(0+11)01))?(0111?)?,53.0,740704.0,0.839763,1.8275862068965518,0.00034099894845137984
type2_exp89,1?(10(10*)*+(0+1)1(1+0(0+1))),26.0,2700566259.0,2.392974,(010?+111?)(1+00)+11?0(10?)?,32.0,720687.0,0.865228,1.2307692307692308,0.0002668651426708061
type2_exp90,not_found,21.0,1657906056.0,2.754326,not_found,17.0,9571311.0,155.604755,0.8095238095238095,0.005773132298637312
type2_exp91,1*+0*(1(0+0*10*1))*,20.0,209800988.0,0.620115,(00(00)?10)?(1+(11)?00)?(1011*0)?((011)?(0+1))?(000+1001)?(1101)?(10011)?,84.0,1143409.0,3.249118,4.2,0.005449969568303463
type2_exp92,10(0+1)*+(0+(0+1)1)(11+00*),25.0,3088875545.0,2.74877,(0?(0+1))?(00+1111)+(101?+01(0+1))(01)?,39.0,748579.0,0.89024,1.56,0.00024234676635377357
type2_exp93,not_found,22.0,1970025436.0,1.70205,(00+1(0+1(0+1)))?(1+0(1+0(1+0*))0)(11)?+(0+1(0+110?))(011)?(101)?(0+11(001)?)((11)?01)?,84.0,3152340.0,67.530608,3.8181818181818183,0.0016001519281906367
type2_exp94,(1+0?(0+11(0+1))0?)(01)*,22.0,807063652.0,1.345312,(1+0(0+(0+1)01)?)(011+1000)?((1+00?)0)?((11+010)(0+1))?((0+1)0?001)?,68.0,1100597.0,4.042569,3.090909090909091,0.0013637053251903852
type2_exp95,(0*1)*0?01*,13.0,356934.0,0.297549,(0*1)*0?01*,13.0,336475.0,2.147143,1.0,0.9426812800125514
type2_exp96,((0+1)(0+10*1))?0(1+0*),20.0,140208122.0,0.514097,(((0+1)?0)?0(11)?)?(11001)?(100(1+00))?(0+(0+11)0?1),52.0,1081618.0,2.608749,2.6,0.007714374777803529
type2_exp97,(0(0+1)0?)?(1+(1?0)*(0+111)0),27.0,1388881110.0,4.534527,(0(0+1))?(1+00?(0+101))((00+11)0)?,32.0,658103.0,0.734856,1.1851851851851851,0.0004738368138652271
type2_exp98,(0+1(0?1)?)(11)?0*,17.0,4167177.0,0.336053,(11)?(0+(10?)?1)((00)?(0+11))?0?,29.0,672539.0,0.759789,1.7058823529411764,0.16138959300264905
type2_exp99,((00?1)?(0+(0+11)*1)(00)?)?,24.0,1034082982.0,1.23026,((1+0(10+(0*1)*))(11+01?0)?)?,26.0,782288.0,0.960309,1.0833333333333333,0.0007565040848917094
type2_exp100,not_found,22.0,1886322697.0,1.662204,((0+1)0(00+11))?((00+1(0+1)1)0)?(01+1(1+00))?(011001)?(111111)?(110110)?((110)?(1+010))?(01110)?,108.0,1478300.0,6.907743,4.909090909090909,0.0007836941167866358
type2_exp101,not_found,20.0,857078131.0,3.272021,not_found,17.0,9785678.0,218.15128,0.85,0.011417486511506848
type2_exp102,(1*(0+111)(01*)*)?,17.0,14217948.0,0.363841,not_found,17.0,9611257.0,131.845232,1.0,0.6759946653342662
type2_exp103,(0*1?(0+(0+1)10?))?,17.0,6877768.0,0.316298,(0+10001)?(0(1(110)?)?)?(01?0(0+1)0)?(((10?)?1)?(0+11))?,55.0,1072271.0,2.900634,3.235294117647059,0.15590392115581683
type2_exp104,(0?(0+1)0)*(1+(0+11)1?0?),23.0,2080058726.0,1.942916,((10+0001)1)?(1+(10)?(01?)?0)(0000)?(011(0+1))?(111+0100)?((001)?1)?(000+1011)?,89.0,1142539.0,8.2712,3.869565217391304,0.0005492820879135121
